相談年月日,相談区分,対応言語名,相談概要,相談方法,元ファイル,元行番号
2025/4/1,その他,スペイン語,子供の面会,電話,Question04.csv,1
2025/4/1,その他,スペイン語,法律相談,電話,Question04.csv,2
2025/4/1,その他,スペイン語,生活困窮,E-Mail,Question04.csv,4
2025/4/1,その他,ポルトガル語,携帯会社や自動車ローンでの住所変更届,電話,Question04.csv,5
2025/4/2,その他,"日本語
（ベトナム）",ベトナム語通訳の依頼,電話,Question04.csv,7
2025/4/2,その他,ポルトガル語,人種差別について,電話,Question04.csv,8
2025/4/3,その他,"日本語
（ベトナム）",ベトナム語の相談,電話,Question04.csv,10
2025/4/7,その他,ポルトガル語,ゴミ出しについて,E-Mail,Question04.csv,17
2025/4/8,その他,ポルトガル語,文房具の説明,電話,Question04.csv,21
2025/4/8,その他,ポルトガル語,障害福祉手当について,電話,Question04.csv,24
2025/4/8,その他,ポルトガル語,電気代の支払期限日について,電話,Question04.csv,27
2025/4/8,その他,ポルトガル語,水道水の支払伝票について,電話,Question04.csv,28
2025/4/9,その他,ポルトガル語,支払の期限について,電話,Question04.csv,32
2025/4/10,その他,英語,ガスの使用再開手続き,電話,Question04.csv,33
2025/4/10,その他,英語,生活支援,来所,Question04.csv,35
2025/4/10,その他,ポルトガル語,サッカー教室など,電話,Question04.csv,37
2025/4/14,その他,"日本語
（インドネシア）",当センターのインドネシア語対応について,電話,Question04.csv,55
2025/4/14,その他,ポルトガル語,社会福祉協会と相談したい,電話,Question04.csv,56
2025/4/14,その他,"日本語
（インドネシア）",プロテスタント教会について,電話,Question04.csv,57
2025/4/15,その他,ポルトガル語,支払い内容,電話,Question04.csv,58
2025/4/15,その他,タガログ語,ワイモバイルスタッフに説明してほしい,電話,Question04.csv,59
2025/4/15,その他,タガログ語,家族のトラブル,電話,Question04.csv,61
2025/4/15,その他,ポルトガル語,SNSの被害,電話,Question04.csv,62
2025/4/15,その他,ポルトガル語,借金返済のためのローン,E-Mail,Question04.csv,63
2025/4/15,その他,ポルトガル語,引きこもりを支援する団体,E-Mail,Question04.csv,64
2025/4/15,その他,ポルトガル語,業務の拡大,電話,Question04.csv,65
2025/4/16,その他,ポルトガル語,水道料金の支払い,電話,Question04.csv,69
2025/4/16,その他,タガログ語,保証人について,電話,Question04.csv,73
2025/4/17,その他,ポルトガル語,生活保護について,電話,Question04.csv,81
2025/4/18,その他,ポルトガル語,クレジットカードの停止,来所,Question04.csv,84
2025/4/18,その他,タガログ語,マイナンバーについて,電話,Question04.csv,88
2025/4/21,その他,日本語（中国）,身分証明書の紛失,電話,Question04.csv,91
2025/4/21,その他,ポルトガル語,クレジットカード再発行手続き,来所,Question04.csv,92
2025/4/22,その他,ポルトガル語,業者への支払等,電話,Question04.csv,102
2025/4/22,その他,ポルトガル語,電気コンロのトラブル,電話,Question04.csv,103
2025/4/22,その他,ポルトガル語,電気代の支払,電話,Question04.csv,104
2025/4/23,その他,ポルトガル語,帰国の計画について,来所,Question04.csv,110
2025/4/25,その他,タガログ語,放棄された農地について,来所,Question04.csv,124
2025/4/30,その他,スペイン語,野良猫の飼育,電話,Question04.csv,138
2025/4/30,その他,タガログ語,銀行口座について,来所,Question04.csv,143
2025/5/1,その他,スペイン語,振り込み詐欺について,電話,Question05.csv,1
2025/5/1,その他,ポルトガル語,当センターについて,電話,Question05.csv,6
2025/5/2,その他,スペイン語,架空請求について,来所,Question05.csv,8
2025/5/2,その他,タガログ語,銀行口座について,来所,Question05.csv,14
2025/5/7,その他,スペイン語,センターの住所について,E-Mail,Question05.csv,22
2025/5/7,その他,ポルトガル語,今後の生活について,電話,Question05.csv,31
2025/5/8,その他,ポルトガル語,生活困窮について,電話,Question05.csv,33
2025/5/8,その他,ポルトガル語,イオンから電話があった,電話,Question05.csv,34
2025/5/9,その他,ポルトガル語,野菜の返品について,電話,Question05.csv,36
2025/5/12,その他,タガログ語,注文した品に関する問題,電話,Question05.csv,42
2025/5/12,その他,日本語（ネパール）,来所者の要件確認,電話,Question05.csv,43
2025/5/13,その他,日本語（その他）,相続問題について,電話,Question05.csv,51
2025/5/14,その他,日本語（ペルー）,通訳派遣について,電話,Question05.csv,54
2025/5/14,その他,スペイン語,成人年齢について,電話,Question05.csv,55
2025/5/16,その他,ポルトガル語,カードローンの支払い,来所,Question05.csv,60
2025/5/16,その他,ポルトガル語,ポルトガル語で相談したい,電話,Question05.csv,67
2025/5/19,その他,タガログ語,貸付金の返済について,電話,Question05.csv,69
2025/5/19,その他,日本語（ベトナム）,通訳の依頼,電話,Question05.csv,74
2025/5/20,その他,ポルトガル語,近所トラブル,電話,Question05.csv,75
2025/5/21,その他,ポルトガル語,生活費が不足している,電話,Question05.csv,82
2025/5/22,その他,ポルトガル語,新幹線の利用等について,電話,Question05.csv,92
2025/5/22,その他,ポルトガル語,暴行事件に納得のいく対応について,電話,Question05.csv,93
2025/5/23,その他,ポルトガル語,カードのリボ払いについて,電話,Question05.csv,94
2025/5/23,その他,タガログ語,銀行ATMカードの不具合,電話,Question05.csv,97
2025/5/26,その他,タガログ語,返済について,電話,Question05.csv,103
2025/5/26,その他,スペイン語,知り合いが心配,電話,Question05.csv,110
2025/5/28,その他,タガログ語,貸付金についてのお知らせ,来所,Question05.csv,118
2025/5/28,その他,ポルトガル語,郵便受けにあった物について,電話,Question05.csv,122
2025/5/28,その他,ポルトガル語,引っ越しによる問題発生について,電話,Question05.csv,123
2025/5/29,その他,日本語（ブラジル）,生活保護にかかる相談について,電話,Question05.csv,129
2025/5/30,その他,スペイン語,未配送に関する訴訟について,電話,Question05.csv,134
2025/5/30,その他,ポルトガル語,美容院での通訳,電話,Question05.csv,135
2025/6/2,その他,タガログ語,銀行落としの支払の確認,電話,Question06.csv,2
2025/6/2,その他,タガログ語,押収自転車について,その他,Question06.csv,3
2025/6/3,その他,日本語（その他）,不法滞在者への対応について,電話,Question06.csv,6
2025/6/3,その他,インドネシア語,夫が家を出て生活費を入れてくれない,E-Mail,Question06.csv,7
2025/6/4,その他,ポルトガル語,水道メーター交換,電話,Question06.csv,11
2025/6/4,その他,タガログ語,水道とガス代の支払い,来所,Question06.csv,15
2025/6/5,その他,インドネシア語,夫が家から出て生活費を入れてくれない,E-Mail,Question06.csv,17
2025/6/5,その他,ポルトガル語,郵便物について,来所,Question06.csv,21
2025/6/5,その他,ポルトガル語,スマホの使用について,来所,Question06.csv,22
2025/6/6,その他,インドネシア語,夫が借金のため家を出た,E-Mail,Question06.csv,25
2025/6/6,その他,英語,通訳を依頼について,電話,Question06.csv,29
2025/6/6,その他,ポルトガル語,クレジットカードの返済について,電話,Question06.csv,31
2025/6/9,その他,英語,友達の日本人が生活困窮している,電話,Question06.csv,33
2025/6/9,その他,日本語（ブラジル）,バレーボールのサークルについて,E-Mail,Question06.csv,37
2025/6/10,その他,ポルトガル語,クレジットカードの支払い金の調整,電話,Question06.csv,38
2025/6/10,その他,英語,友人への支援,E-Mail,Question06.csv,39
2025/6/11,その他,日本語（その他）,難民支援,E-Mail,Question06.csv,43
2025/6/11,その他,ポルトガル語,名誉棄損罪について,電話,Question06.csv,45
2025/6/12,その他,ポルトガル語,生活全般について,電話,Question06.csv,47
2025/6/12,その他,日本語（その他）,ひこね外国人相談センターへの行き方,E-Mail,Question06.csv,48
2025/6/13,その他,日本語（ベトナム）,ベトナム語通訳について,電話,Question06.csv,56
2025/6/13,その他,ベトナム語,ベトナム語通訳について,電話,Question06.csv,57
2025/6/13,その他,日本語（日本）,NPO法人のリストについて,電話,Question06.csv,58
2025/6/17,その他,ポルトガル語,障がい者認定,電話,Question06.csv,71
2025/6/17,その他,ポルトガル語,クーラーの調節,電話,Question06.csv,72
2025/6/17,その他,ポルトガル語,クレジットカードの分割払い,電話,Question06.csv,75
2025/6/18,その他,スペイン語,暴行事件について,電話,Question06.csv,78
2025/6/18,その他,ポルトガル語,電話代二重払いについて,来所,Question06.csv,79
2025/6/18,その他,タガログ語,住民票の取得,電話,Question06.csv,81
2025/6/19,その他,ポルトガル語,電話代二重払いについて,電話,Question06.csv,86
2025/6/20,その他,ポルトガル語,クレジットカードについて,電話,Question06.csv,92
2025/6/20,その他,ポルトガル語,クレジットカード払いについて,電話,Question06.csv,94
2025/6/20,その他,スペイン語,金子さんと相談したい,電話,Question06.csv,95
2025/6/24,その他,スペイン語,低所得者向けの支援金について,電話,Question06.csv,98
2025/6/26,その他,日本語（中国）,個人間のお金請求について,電話,Question06.csv,105
2025/6/26,その他,スペイン語,マイナンバーカードの更新について,来所,Question06.csv,107
2025/6/26,その他,タガログ語,傷病手当について,電話,Question06.csv,111
2025/6/27,その他,ポルトガル語,クレジットカードの借金について,電話,Question06.csv,112
2025/6/30,その他,ポルトガル語,貸付金返済,電話,Question06.csv,117
2025/6/30,その他,ポルトガル語,食糧支援,電話,Question06.csv,118
2025/6/30,その他,タガログ語,銀行カード（ATM Card）について,電話,Question06.csv,119
2025/7/1,その他,ポルトガル語,フードバンクの受け取り,電話,Question07.csv,1
2025/7/2,その他,ポルトガル語,警察署での通訳をお願いします。,電話,Question07.csv,3
2025/7/2,その他,スペイン語,悩み事について,電話,Question07.csv,9
2025/7/3,その他,日本語（中国）,人権問題,電話,Question07.csv,11
2025/7/4,その他,英語,チケットの予約,電話,Question07.csv,25
2025/7/4,その他,日本語（日本）,移住サポートについて,来所,Question07.csv,26
2025/7/7,その他,タガログ語,貸付金の返済について,電話,Question07.csv,35
2025/7/7,その他,英語,英語で受けれるカウンセリング,電話,Question07.csv,37
2025/7/8,その他,日本語（ブラジル）,末期患者に関する手続き,電話,Question07.csv,38
2025/7/9,その他,日本語（その他）,食糧支援希望,E-Mail,Question07.csv,43
2025/7/9,その他,日本語（その他）,法律相談について,電話,Question07.csv,44
2025/7/9,その他,ポルトガル語,携帯電話が通話停止について,電話,Question07.csv,47
2025/7/9,その他,英語,警察犯罪経歴証明書,E-Mail,Question07.csv,48
2025/7/10,その他,ポルトガル語,携帯電話・自動車ローンについて,電話,Question07.csv,49
2025/7/10,その他,日本語（ベトナム）,貸付の免除することについてベトナム語通訳,電話,Question07.csv,53
2025/7/10,その他,日本語（ベトナム）,婚約者に送った書類について,電話,Question07.csv,54
2025/7/14,その他,ポルトガル語,カードの紛失,来所,Question07.csv,60
2025/7/14,その他,タガログ語,生活保護受給証明書について,電話,Question07.csv,62
2025/7/14,その他,タガログ語,緊急貸付金の返済について,電話,Question07.csv,63
2025/7/14,その他,中国語,知り合いが貸したお金を返さない,来所,Question07.csv,67
2025/7/16,その他,タガログ語,相続放棄,来所,Question07.csv,77
2025/7/16,その他,タガログ語,火葬した遺骨を海外に持ち出す,来所,Question07.csv,78
2025/7/16,その他,タガログ語,旅行会社について,電話,Question07.csv,80
2025/7/18,その他,日本語（中国）,中国語ができる弁護士について,電話,Question07.csv,93
2025/7/22,その他,ポルトガル語,携帯電話料金の支払いについて,来所,Question07.csv,97
