相談年月日,相談区分,対応言語名,相談概要,相談方法,元ファイル,元行番号
2025/4/9,出産・子育て全般,英語,予約時間の変更依頼,電話,Question04.csv,31
2025/4/14,出産・子育て全般,日本語（その他）,保護者への文書翻訳,電話,Question04.csv,47
2025/4/14,出産・子育て全般,ベトナム語,検診の担当者の変更について,電話,Question04.csv,49
2025/4/17,出産・子育て全般,ポルトガル語,児童扶養手当について,電話,Question04.csv,78
2025/4/17,出産・子育て全般,ポルトガル語,子ども手当について,電話,Question04.csv,80
2025/4/18,出産・子育て全般,タガログ語,高額な幼稚園の費用について,電話,Question04.csv,90
2025/4/24,出産・子育て全般,ポルトガル語,児童扶養手当について,電話,Question04.csv,115
2025/4/25,出産・子育て全般,"日本語
（ベトナム）",給付金と母子手帳の発行について通訳依頼,電話,Question04.csv,120
2025/4/28,出産・子育て全般,"日本語
（その他）",入園者の聞き取り,電話,Question04.csv,128
2025/4/28,出産・子育て全般,ポルトガル語,児童手当について,電話,Question04.csv,137
2025/5/8,出産・子育て全般,ベトナム語,出生証明書の発行することについて,電話,Question05.csv,32
2025/5/13,出産・子育て全般,ポルトガル語,産休給付金について,電話,Question05.csv,48
2025/5/15,出産・子育て全般,ポルトガル語,紙オムツ支援,電話,Question05.csv,59
2025/5/16,出産・子育て全般,日本語（ベトナム）,一時預かりの食事,電話,Question05.csv,61
2025/5/16,出産・子育て全般,ポルトガル語,障害児福祉手当,電話,Question05.csv,62
2025/5/23,出産・子育て全般,英語,病院の予約,電話,Question05.csv,100
2025/5/29,出産・子育て全般,英語,病院の予約変更,電話,Question05.csv,127
2025/5/29,出産・子育て全般,日本語（ベトナム）,母国語での相談について,電話,Question05.csv,128
2025/5/30,出産・子育て全般,英語,病院食について,電話,Question05.csv,137
2025/6/16,出産・子育て全般,ポルトガル語,役所への問い合わせについて,電話,Question06.csv,68
2025/6/17,出産・子育て全般,ポルトガル語,産後の給付金,電話,Question06.csv,73
2025/6/19,出産・子育て全般,日本語（フィリピン）,子どもの医療費助成（マルフク）の申請について,電話,Question06.csv,90
2025/7/3,出産・子育て全般,ポルトガル語,まるふく更新について,電話,Question07.csv,10
2025/7/4,出産・子育て全般,タガログ語,出産手当について,その他,Question07.csv,20
2025/7/7,出産・子育て全般,ポルトガル語,オムツの注文,電話,Question07.csv,28
2025/7/8,出産・子育て全般,日本語（フィリピン）,中学生の出産,電話,Question07.csv,40
2025/7/11,出産・子育て全般,タガログ語,出産一時金,E-Mail,Question07.csv,58
2025/7/14,出産・子育て全般,タガログ語,出産一時金について,E-Mail,Question07.csv,65
2025/7/18,出産・子育て全般,日本語（ブラジル）,出生届けについて,電話,Question07.csv,91
2025/7/29,出産・子育て全般,日本語（ベトナム）,入国後市役所での手続きについてベトナム語で通訳依頼,電話,Question07.csv,124
2025/8/1,出産・子育て全般,タガログ語,母と娘の対立,電話,Question08.csv,2
2025/8/12,出産・子育て全般,タガログ語,親子間のコミュニケーション不足,来所,Question08.csv,25
2025/8/28,出産・子育て全般,ポルトガル語,出生届について,電話,Question08.csv,90
2025/9/1,出産・子育て全般,ポルトガル語,証明書について,電話,Question09.csv,7
2025/9/9,出産・子育て全般,スペイン語,出産育児金・赤ちゃんの面倒見について,電話,Question09.csv,60
2025/10/6,出産・子育て全般,タガログ語,息子さんの思春期の悩み相談,来所,Question10.csv,26
2025/10/9,出産・子育て全般,ポルトガル語,育児休業について,E-Mail,Question10.csv,54
2025/10/27,出産・子育て全般,タガログ語,出産前と出産後の手当金について,電話,Question10.csv,124
2025/10/27,出産・子育て全般,タガログ語,出産・子育てに対して色々な情報,電話,Question10.csv,125
2025/10/29,出産・子育て全般,ポルトガル語,妊娠について,電話,Question10.csv,144
2025/11/4,出産・子育て全般,ベトナム語,出産一時金について,電話,Question11.csv,6
2025/11/5,出産・子育て全般,ベトナム語,出産育児一時金の申請の手続き,電話,Question11.csv,13
2025/11/7,出産・子育て全般,ポルトガル語,一人で悩んでいる,電話,Question11.csv,32
2025/11/12,出産・子育て全般,ベトナム語,出産育児一時金の申請のため提出する和訳書類の確認依頼,E-Mail,Question11.csv,53
2025/11/17,出産・子育て全般,日本語（その他）,子の氏名表記,電話,Question11.csv,68
2025/11/19,出産・子育て全般,ベトナム語,保育園の申請するため在職証明書を提出すること,電話,Question11.csv,84
2025/11/21,出産・子育て全般,ベトナム語,保育園の延長申請について,電話,Question11.csv,99
2025/11/27,出産・子育て全般,ポルトガル語,子育て支援について,E-Mail,Question11.csv,131
2025/11/28,出産・子育て全般,日本語（ベトナム）,母子手帳の発行についてベトナム語通訳依頼,電話,Question11.csv,142
2025/12/1,出産・子育て全般,ベトナム語,不妊治療の補助金の申請について,電話,Question12.csv,2
2025/12/12,出産・子育て全般,タガログ語,日本に呼ぶ場合の必要書類と手続き,来所,Question12.csv,58
2025/12/23,出産・子育て全般,タガログ語,出産一時金について,その他,Question12.csv,102
2025/12/24,出産・子育て全般,タガログ語,共済金の請求手続きと必要な書類,電話,Question12.csv,110
