相談年月日,相談区分,対応言語名,相談概要,相談方法,元ファイル,元行番号
2025/4/1,住宅,ポルトガル語,ソーラーパネルについて,電話,Question04.csv,3
2025/4/4,住宅,"日本語
（ブラジル）",自治会からの相談,電話,Question04.csv,15
2025/4/17,住宅,スペイン語,不動産からの連絡について,電話,Question04.csv,77
2025/4/18,住宅,タガログ語,住宅ローン控除の手続きについて,電話,Question04.csv,87
2025/4/23,住宅,"日本語
（ブラジル）",ソーラーパネルについて,電話,Question04.csv,105
2025/4/25,住宅,ポルトガル語,アパート探しについて,電話,Question04.csv,118
2025/4/28,住宅,ポルトガル語,転出届について,電話,Question04.csv,131
2025/4/30,住宅,ポルトガル語,ソーラーパネルについて,電話,Question04.csv,140
2025/5/2,住宅,日本語（ペルー）,水漏れについて,電話,Question05.csv,9
2025/5/9,住宅,ポルトガル語,ソーラーパネルについて,電話,Question05.csv,35
2025/5/27,住宅,スペイン語,不動産屋からの連絡について,電話,Question05.csv,111
2025/5/27,住宅,ポルトガル語,住宅ローン付き不動産の相続について,電話,Question05.csv,112
2025/6/5,住宅,ポルトガル語,家賃の振り込みについて,来所,Question06.csv,20
2025/6/6,住宅,スペイン語,損害賠償について,電話,Question06.csv,26
2025/6/9,住宅,英語,賃貸契約の解除について,電話,Question06.csv,34
2025/6/9,住宅,スペイン語,住む場所について,E-Mail,Question06.csv,35
2025/6/16,住宅,タガログ語,住まいローンについて,来所,Question06.csv,66
2025/7/2,住宅,ポルトガル語,収入申告書について,来所,Question07.csv,4
2025/7/3,住宅,ポルトガル語,請求書が届いた,電話,Question07.csv,13
2025/7/4,住宅,英語,住まい探し,来所,Question07.csv,23
2025/7/10,住宅,スペイン語,水漏れ修理の処理について,電話,Question07.csv,52
2025/7/14,住宅,日本語（ブラジル）,火災保険の利用について,電話,Question07.csv,59
2025/7/14,住宅,ポルトガル語,大家さんとのトラブルについて,電話,Question07.csv,70
2025/7/16,住宅,スペイン語,火災保険について,電話,Question07.csv,74
2025/7/17,住宅,日本語（ペルー）,火災保険について,電話,Question07.csv,88
2025/7/25,住宅,スペイン語,火災保険の手続きについて,電話,Question07.csv,106
2025/7/25,住宅,日本語（その他）,賃貸契約について,電話,Question07.csv,107
2025/8/14,住宅,スペイン語,火災保険金請求について,来所,Question08.csv,30
2025/8/26,住宅,ポルトガル語,浴槽の蛇口について,来所,Question08.csv,83
2025/8/28,住宅,英語,住むところを探している,電話,Question08.csv,89
2025/9/9,住宅,スペイン語,火災保険の手続きについて,電話,Question09.csv,57
2025/9/16,住宅,タガログ語,住宅 所有権 夫婦,来所,Question09.csv,77
2025/9/16,住宅,日本語（ベトナム）,住民の迷惑行為について,電話,Question09.csv,80
2025/9/22,住宅,タガログ語,県営住宅について,電話,Question09.csv,92
2025/9/30,住宅,ポルトガル語,公営住宅について,電話,Question09.csv,124
2025/10/6,住宅,タガログ語,住所を変更しないことについて,来所,Question10.csv,24
2025/10/10,住宅,ポルトガル語,家賃の支払い,電話,Question10.csv,64
2025/10/15,住宅,日本語（日本）,外国人近隣住民に関する苦情,電話,Question10.csv,83
2025/10/22,住宅,タガログ語,県営住宅について,電話,Question10.csv,100
2025/10/24,住宅,タガログ語,県営住宅について,電話,Question10.csv,112
2025/11/5,住宅,タガログ語,住所変更について,電話,Question11.csv,14
2025/11/6,住宅,スペイン語,水道代について,電話,Question11.csv,19
2025/11/14,住宅,ポルトガル語,家を探している,電話,Question11.csv,65
2025/11/25,住宅,日本語（ベトナム）,自治会の規約翻訳,電話,Question11.csv,105
2025/11/27,住宅,日本語（ベトナム）,家の立て直すことについて,電話,Question11.csv,133
2025/12/12,住宅,タガログ語,友達が住まいについて困ってる,電話,Question12.csv,56
2025/12/15,住宅,日本語（ベトナム）,住民の迷惑行為,電話,Question12.csv,64
2025/12/19,住宅,スペイン語,トイレの工事について,電話,Question12.csv,86
2025/12/19,住宅,スペイン語,住宅ローンについて,電話,Question12.csv,89
2025/12/19,住宅,日本語（ベトナム）,住民の迷惑行為,E-Mail,Question12.csv,90
2025/12/22,住宅,日本語（ベトナム）,隣人の迷惑行為,E-Mail,Question12.csv,91
2025/12/22,住宅,タガログ語,県営住宅応募について,来所,Question12.csv,93
2025/12/23,住宅,タガログ語,県営住宅申請書について,電話,Question12.csv,101
2025/12/24,住宅,日本語（ペルー）,近隣トラブルについて,電話,Question12.csv,112
