相談年月日,相談区分,対応言語名,相談概要,相談方法,元ファイル,元行番号
2025/4/10,医療,英語,英語のできる医療機関,E-Mail,Question04.csv,34
2025/4/11,医療,ポルトガル語,バセドー病の医療費支援,電話,Question04.csv,39
2025/4/14,医療,"日本語
（ベトナム）",HIV検査について,E-Mail,Question04.csv,48
2025/4/16,医療,ポルトガル語,うつ病のためカウンセリングについて,電話,Question04.csv,72
2025/4/22,医療,タガログ語,医療通訳の依頼,電話,Question04.csv,100
2025/4/23,医療,"日本語
（ブラジル）",書類記入について,電話,Question04.csv,106
2025/4/24,医療,"日本語
（フィリピン）",結核患者の聞き取り,電話,Question04.csv,112
2025/4/25,医療,ポルトガル語,病院の予約変更について,電話,Question04.csv,117
2025/4/26,医療,タガログ語,医療通訳の依頼,電話,Question04.csv,126
2025/4/30,医療,スペイン語,母の通院について,電話,Question04.csv,141
2025/4/30,医療,"日本語
（その他）",夫の治療代金について,電話,Question04.csv,144
2025/5/2,医療,ポルトガル語,へそのしこりについて,電話,Question05.csv,12
2025/5/12,医療,ポルトガル語,カテーテルの手術が不安,電話,Question05.csv,44
2025/5/14,医療,ポルトガル語,診察の形態について,電話,Question05.csv,58
2025/5/21,医療,日本語（ブラジル）,診療後の通訳,電話,Question05.csv,78
2025/5/21,医療,ポルトガル語,親知らずの抜歯,電話,Question05.csv,81
2025/5/23,医療,ポルトガル語,ワクチン接種について,電話,Question05.csv,96
2025/5/26,医療,ベトナム語,病院を受診したい,電話,Question05.csv,107
2025/5/28,医療,日本語（ブラジル）,受診の際の通訳について,電話,Question05.csv,124
2025/5/28,医療,日本語（ブラジル）,提出書類について,電話,Question05.csv,125
2025/6/5,医療,ポルトガル語,受診について,来所,Question06.csv,19
2025/6/18,医療,スペイン語,精神科医について,電話,Question06.csv,77
2025/6/19,医療,英語,病院の予約をキャンセルしたい,電話,Question06.csv,89
2025/6/23,医療,スペイン語,帯状疱疹について,来所,Question06.csv,97
2025/6/24,医療,タガログ語,紹介状について,電話,Question06.csv,101
2025/6/26,医療,タガログ語,健康診断の結果について,電話,Question06.csv,110
2025/6/30,医療,タガログ語,夫の重篤な健康状態について,電話,Question06.csv,123
2025/7/2,医療,ポルトガル語,市役所からの手紙について,来所,Question07.csv,5
2025/7/2,医療,ポルトガル語,新型コロナウイルスワクチンの副反応について,電話,Question07.csv,8
2025/7/8,医療,日本語（ペルー）,相談者についての相談,電話,Question07.csv,42
2025/7/11,医療,タガログ語,高額医療費制度　限度額適用認定証,電話,Question07.csv,57
