相談内容,回答内容,回答に使用したQA資料
フードバンクの受け取り,申し訳ありません。ご提示のコンテキストには「フードバンクの受け取り」についての情報は含まれていません。滋賀県国際協会の情報のみ根拠として事実ベースで回答を作成するには、該当情報を提供してください。,"[{""sid"": ""S1"", ""question"": ""マイナンバーカードを健康保険証として利用できます！"", ""answer"": ""専用のカードリーダーが設置された医療機関・薬局で、マイナンバーカードが健康保険証として利用できるようになります。事前申し込みが必要です。\nマイナンバー総合フリーダイヤル\n℡　０１２０－９５－０１７８（日本語のみ）\n℡　０１２０－０１７８－２６（英語、中国語、韓国語、スペイン語、ポルトガル語）\nお住まいの市町にお問い合わせください。""}]"
履歴書を書く支援,滋賀県国際協会の情報だけに基づくと、履歴書作成の支援については、直接の具体的な手続きや窓口の案内は示されていません。ただし、高校生の就労に関する一般的な留意点として、履歴書提出時には保護者の同意書や年齢証明書、在留カードの提示が求められる場合があること、雇用契約書の取り交わしと内容確認が重要であることが挙げられています。就労情報の相談先としては滋賀労働局の雇用環境・均等室（Tel 077-523-1190）や労働条件相談ほっとライン、多言語相談、闇バイトの相談窓口（警察相談ダイヤル#9110）を案内しています。履歴書作成自体の具体的支援窓口については記載がありません。必要であれば市役所や学校のキャリア相談窓口、または滋賀労働局等への連絡を検討してください。如月の最新情報は公式窓口でご確認ください。,"[{""sid"": ""S2"", ""question"": ""こんな悩み抱えていませんか？"", ""answer"": ""中学を卒業してからは勉強すること、働くこと、いろいろなことを自分で選択する機会が増えます。家や学校以外の居場所もでき、交友関係も広くなります。自由が多くなる分、自己責任も増えていきます。自分のことを守れるように、困ったときの相談先をいくつか紹介します。\n高校生はアルバイトできますか？\n15歳になって最初の3月31日が過ぎた人は就労が認められます。在籍する高校の校則でアルバイトが許可されていれば高校生も働くことができますが、18歳未満の未成年であり、社会での経験がまだ浅いため、以下のように法律で守られています。\n- 就職に当たって、保護者の同意書、年齢証明書、在留カードの提示が求められます。\n- 仕事の内容では、危険や有害な業務について就業の制限又は禁止されています。\n- 就労時間については、深夜業や時間外・休日労働の制限/変形労働時間制の勤務も禁止されています。\n※不当な労働契約や賃金の未払い、パワハラ、セクハラなど劣悪な環境で働かせるブラックバイトもあるので、雇用契約時には、雇用契約書を取り交わし、内容を確認するようにしてください。\n※犯罪行為によって報酬を受け取る\n闇バイト\nが、SNSなどを通して広まっています。決して「高収入」だから、と軽い気持ちで応募してはいけません。身分証や家族の情報などを提供してしまうことによって犯罪組織から抜け出せない手口になっています。自分の個人情報やプライバシーに関することはむやみに提供しないように気を付けましょう。\nいじめ、いやがらせ、セクハラ、解雇など仕事の相談\n- 滋賀労働局　雇用環境・均等室　Tel 077-523-1190\n- 労働条件相談ほっとライン（多言語相談）\n- 闇バイトの相談　警察相談ダイヤル#9110""}, {""sid"": ""S3"", ""question"": ""こんな悩み抱えていませんか？"", ""answer"": ""中学を卒業してからは勉強すること、働くこと、いろいろなことを自分で選択する機会が増えます。家や学校以外の居場所もでき、交友関係も広くなります。自由が多くなる分、自己責任も増えていきます。自分のことを守れるように、困ったときの相談先をいくつか紹介します。\n高校生はアルバイトできますか？\n15歳になって最初の3月31日が過ぎた人は就労が認められます。在籍する高校の校則でアルバイトが許可されていれば高校生も働くことができますが、18歳未満の未成年であり、社会での経験がまだ浅いため、以下のように法律で守られています。\n- 就職に当たって、保護者の同意書、年齢証明書、在留カードの提示が求められます。\n- 仕事の内容では、危険や有害な業務について就業の制限又は禁止されています。\n- 就労時間については、深夜業や時間外・休日労働の制限/変形労働時間制の勤務も禁止されています。\n※不当な労働契約や賃金の未払い、パワハラ、セクハラなど劣悪な環境で働かせるブラックバイトもあるので、雇用契約時には、雇用契約書を取り交わし、内容を確認するようにしてください。\n※犯罪行為によって報酬を受け取る\n闇バイト\nが、SNSなどを通して広まっています。決して「高収入」だから、と軽い気持ちで応募してはいけません。身分証や家族の情報などを提供してしまうことによって犯罪組織から抜け出せない手口になっています。自分の個人情報やプライバシーに関することはむやみに提供しないように気を付けましょう。\nいじめ、いやがらせ、セクハラ、解雇など仕事の相談\n- 滋賀労働局　雇用環境・均等室　Tel 077-523-1190\n- 労働条件相談ほっとライン（多言語相談）\n- 闇バイトの相談　警察相談ダイヤル#9110""}]"
警察署での通訳をお願いします。,滋賀県国際協会の情報のみを根拠に事実ベースでお答えします。警察署での通訳について、提供された情報には通訳サービスの具体的な案内は含まれていません。警察署へ行く際には、必要に応じて交番を通じて通訳の手配や多言語対応を案内してもらうことを推奨します。なお、緊急時は110番、通報時の言語サポートについては各機関へご確認ください。,"[{""sid"": ""S1"", ""question"": ""犯罪や交通事故にあったとき （事件・事故）"", ""answer"": ""交番\n日本では街角などに「交番」があり、警察官が駐在しています。地域のパトロールや犯罪の防止、家出人や落し物などの届け出を受け付けたり、道案内などを行っていますので、困ったことがあったら気軽に立ち寄ってみましょう。\n盗難や暴行にあったとき\n留守中に泥棒に入られたり、暴力の被害にあったときは、近くの交番や警察署に届けてください。\n緊急に助けを求めたい時は、110番に電話をしましょう。預金通帳，クレジットカードを盗まれた時は、銀行やカードの発行会社に届け出て、支払停止の手続きを要請することが必要です。\n交通事故にあったとき\n交通事故にあったら、どんな小さな事故でも警察に届けましょう。ケガ人がいる時は救急車を呼んでください。""}]"
収入申告書について,滋賀県国際協会の情報には「収入申告書」という用語自体の説明は見当たりません。確定申告に関する案内としては、控除の訂正や事業所得者・複数の所得源がある場合は税務署で申告、給与所得者は原則申告不要などが示されています（S1、S4、S3参照）。年末調整関連の書類（扶養控除等申告書など）の外国語版が公開されています（S2参照）。詳細は国税庁の情報を参照してください（S2参照）。,"[{""sid"": ""S1"", ""question"": ""確定申告　2025年2月17日（月）～3月17日（月）"", ""answer"": ""多額の医療費を支払った、住宅ローンがあるなど控除額に訂正がある場合や事業所得者、複数の場所で所得がある方は税務署で確定申告をしましょう。""}, {""sid"": ""S2"", ""question"": ""年末調整の各種申告書（扶養控除等申告書など）について"", ""answer"": ""国税庁のウェブサイト内で、《外国語版》各種申告書（扶養控除等申告書など）が公開されています。\n【６言語版】\n英語、中国語、ポルトガル語、スペイン語、ベトナム語、フィリピノ語\nご活用ください。""}, {""sid"": ""S3"", ""question"": ""確定申告は、2020年2月17日(月)～4月16日(木)　＊延長されました"", ""answer"": ""多額の医療費を支払った、住宅をローンで購入したなど控除額に訂正や源泉徴収されていない収入がある等の場合や事業所得者、複数の場所で所得がある方は税務署で確定申告をしましょう。""}, {""sid"": ""S4"", ""question"": ""所得税"", ""answer"": ""所得のある人は所得税を納めなければなりません。所得は国籍に関わらず1月1日から1年間に得た個人所得のすべてに課税されます。しかし外国人の税金は滞在期間や職種などにより、次のとおりの方法で扱われます。\n- 日本に住所を持ち、または日本に引き続き1年以上居所を有する者や日本に永住しようとしている者で現在まで引き続き5年以上滞在しているものは、外国と日本の所得の両方に基づく税を支払います。\n- 日本に住所を有し、または現在まで引き続いて1年以上居所を有する個人で、日本に永住するつもりがなくかつ現在まで引き続いて5年以内滞在の一時的な居住者は、日本の所得と海外から送られてきたお金に基づく税を支払います。\n- 日本に1年以内の滞在期間で住所を持たないものは、日本の所得だけに基づく税を払います。\n納税者は管轄されている税務署で確定申告を提出します。申告の期間は2月16日から3月15日です。給与収入2000万円以下の給与所得の場合の所得税は、給与から直接差し引かれますので、通常給与所得者は所得税の申告書を提出する必要はありません。""}]"
市役所からの手紙について,市役所からの手紙については、内容をよく確認し、指示に従ってください。転居・転入手続きなどの案内が同封されることがあります。詳しくは手紙の連絡先に問い合わせるか、市役所の窓口で案内を受けてください。,"[{""sid"": ""S4"", ""question"": ""住民手続きについて"", ""answer"": ""- 住民基本台帳について (http://www.soumu.go.jp/main_sosiki/jichi_gyousei/c-gyousei/zairyu/related_materials-publicity_leaflets-etc.html)\n- マイナンバー制度について (https://www.digital.go.jp/policies/mynumber) マイナンバーカードについて (https://www.kojinbango-card.go.jp/)\n- 転入・転出について (http://www.soumu.go.jp/main_sosiki/jichi_gyousei/c-gyousei/zairyu/move-in_move-out.html)""}]"
仕事の面接に行く職場について,滋賀県国際協会の情報に基づくと、就労や職業紹介、相談は公共職業安定所（ハローワーク）を通じて行われます。面接に進む職場を選ぶ際は、雇用契約や就労条件を事前に確認し、必要な社会保険の加入手続きが開始時点から行われることを確認してください。未成年の場合は保護者の同意や年齢証明、在留カードの提示、就業時間の制限等の法的配慮があります。問題が起きた場合は労働基準監督署や滋賀労働局の窓口へ相談してください。,"[{""sid"": ""S1"", ""question"": ""求職"", ""answer"": ""日本国内で就労できる外国人の方は日本人と同じように職業紹介を受ける事ができます。\n公共職業安定所　(ハローワーク)\n職業紹介、就労に関する相談などに応じる国の機関が公共職業安定所です。\n仕事が見つかり労働契約を結ぶ時の重要な決まりや雇用保険についてなど、いろいろな相談も合わせて行われています。""}, {""sid"": ""S2"", ""question"": ""労働トラブルの相談"", ""answer"": ""労働関係のトラブルがあった場合は、下記の労働基準監督署に相談しましょう。（労働契約、就労規則、給料明細などがあれば持参してください）""}, {""sid"": ""S3"", ""question"": ""入社後、試用期間中の社会保険加入について"", ""answer"": ""「試用期間中は社会保険に加入できない」と言われたことはありませんか。\n日本で就職したときは社会保険に加入して、会社から保険証をもらいます。\n試用期間中は社会保険に入れないと誤解されることがありますが、それは違います。\n社会保険の加入にならないのは、短期アルバイトなど契約期間が2カ月以内の労働者です。 試用期間中は、その後の正式採用を前提とした雇用とみなされますから、雇用主は社会保険に試用期間開始当初から加入させなければなりません。\n試用期間中は市役所の国民健康保険にも入れませんので、無保険にならないよう会社側に社会保険の加入手続きを依頼しましょう。\n年金事務所では社会保険の加入ルールの窓口相談も行っていますので、ご活用ください。""}, {""sid"": ""S4"", ""question"": ""こんな悩み抱えていませんか？"", ""answer"": ""中学を卒業してからは勉強すること、働くこと、いろいろなことを自分で選択する機会が増えます。家や学校以外の居場所もでき、交友関係も広くなります。自由が多くなる分、自己責任も増えていきます。自分のことを守れるように、困ったときの相談先をいくつか紹介します。\n高校生はアルバイトできますか？\n15歳になって最初の3月31日が過ぎた人は就労が認められます。在籍する高校の校則でアルバイトが許可されていれば高校生も働くことができますが、18歳未満の未成年であり、社会での経験がまだ浅いため、以下のように法律で守られています。\n- 就職に当たって、保護者の同意書、年齢証明書、在留カードの提示が求められます。\n- 仕事の内容では、危険や有害な業務について就業の制限又は禁止されています。\n- 就労時間については、深夜業や時間外・休日労働の制限/変形労働時間制の勤務も禁止されています。\n※不当な労働契約や賃金の未払い、パワハラ、セクハラなど劣悪な環境で働かせるブラックバイトもあるので、雇用契約時には、雇用契約書を取り交わし、内容を確認するようにしてください。\n※犯罪行為によって報酬を受け取る\n闇バイト\nが、SNSなどを通して広まっています。決して「高収入」だから、と軽い気持ちで応募してはいけません。身分証や家族の情報などを提供してしまうことによって犯罪組織から抜け出せない手口になっています。自分の個人情報やプライバシーに関することはむやみに提供しないように気を付けましょう。\nいじめ、いやがらせ、セクハラ、解雇など仕事の相談\n- 滋賀労働局　雇用環境・均等室　Tel 077-523-1190\n- 労働条件相談ほっとライン（多言語相談）\n- 闇バイトの相談　警察相談ダイヤル#9110""}, {""sid"": ""S5"", ""question"": ""こんな悩み抱えていませんか？"", ""answer"": ""中学を卒業してからは勉強すること、働くこと、いろいろなことを自分で選択する機会が増えます。家や学校以外の居場所もでき、交友関係も広くなります。自由が多くなる分、自己責任も増えていきます。自分のことを守れるように、困ったときの相談先をいくつか紹介します。\n高校生はアルバイトできますか？\n15歳になって最初の3月31日が過ぎた人は就労が認められます。在籍する高校の校則でアルバイトが許可されていれば高校生も働くことができますが、18歳未満の未成年であり、社会での経験がまだ浅いため、以下のように法律で守られています。\n- 就職に当たって、保護者の同意書、年齢証明書、在留カードの提示が求められます。\n- 仕事の内容では、危険や有害な業務について就業の制限又は禁止されています。\n- 就労時間については、深夜業や時間外・休日労働の制限/変形労働時間制の勤務も禁止されています。\n※不当な労働契約や賃金の未払い、パワハラ、セクハラなど劣悪な環境で働かせるブラックバイトもあるので、雇用契約時には、雇用契約書を取り交わし、内容を確認するようにしてください。\n※犯罪行為によって報酬を受け取る\n闇バイト\nが、SNSなどを通して広まっています。決して「高収入」だから、と軽い気持ちで応募してはいけません。身分証や家族の情報などを提供してしまうことによって犯罪組織から抜け出せない手口になっています。自分の個人情報やプライバシーに関することはむやみに提供しないように気を付けましょう。\nいじめ、いやがらせ、セクハラ、解雇など仕事の相談\n- 滋賀労働局　雇用環境・均等室　Tel 077-523-1190\n- 労働条件相談ほっとライン（多言語相談）\n- 闇バイトの相談　警察相談ダイヤル#9110""}]"
調停の結果について,滋賀県の情報のみを根拠に回答します。調停の結果についての具体的な情報は提供されていませんが、話し合いは家庭裁判所の調停で行うことができます（日本語）。該当する窓口として大津家庭裁判所、本部・彦根支部・長浜支部、または京都外国人の夫婦と親子に関する紛争解決センターへの連絡先が挙げられています。調停の結果や今後の手続きについては、これらの窓口に問い合わせてください。,"[{""sid"": ""S2"", ""question"": ""離婚についての話し合いがうまくいきません。"", ""answer"": ""家庭裁判所の調停で話し合うことができます。（日本語）\n- 大津家庭裁判所 　℡　077-503-8151\n- 大津家庭裁判所 彦根支部 　℡　0749-22-0167\n- 大津家庭裁判所 長浜支部 　℡　0749-62-0240\n- 京都外国人の夫婦と親子に関する紛争解決センター 　℡　075-692-3555""}]"
新型コロナウイルスワクチンの副反応について,滋賀県国際協会の情報のみを根拠に回答します。新型コロナウイルスワクチンの副反応について、滋賀県国際協会の提供する情報には副反応に関する具体的な説明はありません。従って、公式の医療情報源（厚生労働省や自治体の発表、医療機関の案内）を参照することを推奨します。副反応が心配な場合は、接種部位の痛み・発熱・倦怠感などの一般的な副反応は多くの場合数日で軽快しますが、重篤な症状（呼吸困難、胸部の激しい痛み、顔の腫れ、意識喪失など）が現れた場合は直ちに医療機関を受診してください。接種後にアレルギー歴がある方や過去の副反応歴がある方は、事前に医師と相談してください。情報の最新性は公式発表をご確認ください。,"[{""sid"": ""S1"", ""question"": ""新型コロナウイルス感染症の影響を受けた方への生活支援について"", ""answer"": ""住居確保給付金（家主さんに直接支払われる家賃）\n対象\n離職・廃業から２年以内または休業等により収入が減少し、離職等と同程度の状況にある方\n支給期間\n原則３カ月（最長９カ月まで）\n支給額\n家賃相当額を自治体から家主さんに支給\n申請方法\n市にお住まいの方は各市。町にお住まいの方は各町の社会福祉協議会\nご案内\n住居確保給付金のご案内はこちらから (https://www.mhlw.go.jp/content/000626236.pdf)\n★滋賀県では県営住宅での一時的な受入れを行っています。\n対象\n新型コロナウイルスの感染症に起因する解雇等により住宅の退去を余儀なくされた方\n入居期間\n最長一年間\n申込方法\n県庁土木交通部住宅課へお電話　（℡　０７７－５２８－４２３４）\nその他、生活にお困りの方は、お住まいの市町の福祉課や社会福祉事務所で相談しましょう！""}]"
悩み事について,滋賀県国際協会の情報に基づき、学校や相談窓口を活用してください。学校では先生への確認や面談時の通訳依頼を案内されることがあります。学校外で相談できる窓口として、こどもの人権110番（0120-007-110、月〜金8:30-17:15）、チャイルドライン（0120-99-7777、毎日16:00-21:00）、24時間子供SOSダイヤル（0120-0-78310、24時間対応）があります。高校生のアルバイトについては、15歳の3月31日を過ぎた人は就労が認められ、就労には保護者の同意書・年齢証明書・在留カードの提示が必要です。労働条件や違法な求人・闇バイトへの相談は滋賀労働局雇用環境・均等室（Tel 077-523-1190）、労働条件相談ほっとライン、警察相談ダイヤル#9110で対応します。障害・特別支援の相談窓口として、滋賀県立障害者福祉センター、滋賀県総合教育センター、野洲市の窓口などが案内されています。必要に応じて、これらの窓口へ相談してください。,"[{""sid"": ""S1"", ""question"": ""困りごとがあれば学校に相談しましょう！"", ""answer"": ""学校ではたくさんの手紙が配(られるので、わからない場合は先生に確認したり、面談の時には通訳をお願いしましょう。悩みや問題があれば、先生やスクールカウンセラーに相談しましょう。\n学校以外で子どもが相談できるところ\n自分のこと、友達のこと、家族のこと、その他の事で悩み、困っていることがあれば相談してください。\n- こどもの人権110番 0120-007-110　月～金8:30 -17:15\n- チャイルドライン 0120-99-7777　毎日　16:00 - 21:00\n- 24時間子供SOSダイヤル 0120-0-78310　2４時間対応（年末年始も可）""}, {""sid"": ""S3"", ""question"": ""こんな悩み抱えていませんか？"", ""answer"": ""中学を卒業してからは勉強すること、働くこと、いろいろなことを自分で選択する機会が増えます。家や学校以外の居場所もでき、交友関係も広くなります。自由が多くなる分、自己責任も増えていきます。自分のことを守れるように、困ったときの相談先をいくつか紹介します。\n高校生はアルバイトできますか？\n15歳になって最初の3月31日が過ぎた人は就労が認められます。在籍する高校の校則でアルバイトが許可されていれば高校生も働くことができますが、18歳未満の未成年であり、社会での経験がまだ浅いため、以下のように法律で守られています。\n- 就職に当たって、保護者の同意書、年齢証明書、在留カードの提示が求められます。\n- 仕事の内容では、危険や有害な業務について就業の制限又は禁止されています。\n- 就労時間については、深夜業や時間外・休日労働の制限/変形労働時間制の勤務も禁止されています。\n※不当な労働契約や賃金の未払い、パワハラ、セクハラなど劣悪な環境で働かせるブラックバイトもあるので、雇用契約時には、雇用契約書を取り交わし、内容を確認するようにしてください。\n※犯罪行為によって報酬を受け取る\n闇バイト\nが、SNSなどを通して広まっています。決して「高収入」だから、と軽い気持ちで応募してはいけません。身分証や家族の情報などを提供してしまうことによって犯罪組織から抜け出せない手口になっています。自分の個人情報やプライバシーに関することはむやみに提供しないように気を付けましょう。\nいじめ、いやがらせ、セクハラ、解雇など仕事の相談\n- 滋賀労働局　雇用環境・均等室　Tel 077-523-1190\n- 労働条件相談ほっとライン（多言語相談）\n- 闇バイトの相談　警察相談ダイヤル#9110""}, {""sid"": ""S4"", ""question"": ""こんな悩み抱えていませんか？"", ""answer"": ""中学を卒業してからは勉強すること、働くこと、いろいろなことを自分で選択する機会が増えます。家や学校以外の居場所もでき、交友関係も広くなります。自由が多くなる分、自己責任も増えていきます。自分のことを守れるように、困ったときの相談先をいくつか紹介します。\n高校生はアルバイトできますか？\n15歳になって最初の3月31日が過ぎた人は就労が認められます。在籍する高校の校則でアルバイトが許可されていれば高校生も働くことができますが、18歳未満の未成年であり、社会での経験がまだ浅いため、以下のように法律で守られています。\n- 就職に当たって、保護者の同意書、年齢証明書、在留カードの提示が求められます。\n- 仕事の内容では、危険や有害な業務について就業の制限又は禁止されています。\n- 就労時間については、深夜業や時間外・休日労働の制限/変形労働時間制の勤務も禁止されています。\n※不当な労働契約や賃金の未払い、パワハラ、セクハラなど劣悪な環境で働かせるブラックバイトもあるので、雇用契約時には、雇用契約書を取り交わし、内容を確認するようにしてください。\n※犯罪行為によって報酬を受け取る\n闇バイト\nが、SNSなどを通して広まっています。決して「高収入」だから、と軽い気持ちで応募してはいけません。身分証や家族の情報などを提供してしまうことによって犯罪組織から抜け出せない手口になっています。自分の個人情報やプライバシーに関することはむやみに提供しないように気を付けましょう。\nいじめ、いやがらせ、セクハラ、解雇など仕事の相談\n- 滋賀労働局　雇用環境・均等室　Tel 077-523-1190\n- 労働条件相談ほっとライン（多言語相談）\n- 闇バイトの相談　警察相談ダイヤル#9110""}, {""sid"": ""S5"", ""question"": ""悩まず、すぐ相談！"", ""answer"": ""各市町役場　障害福祉担当課\n滋賀県立障害者福祉センター　心身障害者の相談・障害者のスポーツセンター\n（プール、トレーニング室などあり）\n草津市笠山８丁目５番１３０号　℡　077-564-7327\n滋賀県総合教育センター　特別支援教育相談　　発達障害等の子どもについての相談。\n来所（要予約）電話相談　9:00-12:30　13:00-16:30\n野洲市北桜　℡　077-588-2505""}]"
まるふく更新について,申し訳ありませんが、私の訓練データには“まるふく更新”について滋賀県国際協会の公開情報に基づく具体的な事実が含まれていません。滋賀県国際協会の公式サイトや公式発表をご確認ください。,[]
