相談年月日,相談区分,対応言語名,相談概要,相談方法,元ファイル,元行番号
2025/4/11,結婚・離婚,ポルトガル語,弁護士相談について,電話,Question04.csv,41
2025/4/11,結婚・離婚,タガログ語,外国での離婚の公式承認,電話,Question04.csv,43
2025/4/22,結婚・離婚,ポルトガル語,離婚で財産について,電話,Question04.csv,97
2025/4/22,結婚・離婚,タガログ語,外国離婚の承認裁判,電話,Question04.csv,101
2025/4/25,結婚・離婚,ポルトガル語,娘の結婚について,電話,Question04.csv,119
2025/4/25,結婚・離婚,タガログ語,民事状況宣誓供述書および公証サービスについて教えてください。,電話,Question04.csv,121
2025/4/25,結婚・離婚,タガログ語,離婚について,来所,Question04.csv,123
2025/5/2,結婚・離婚,タガログ語,法テラスでの付き添い通訳について,来所,Question05.csv,13
2025/5/2,結婚・離婚,タガログ語,入管問題に強い弁護士について,来所,Question05.csv,15
2025/5/7,結婚・離婚,日本語（ベトナム）,結婚のことについて,電話,Question05.csv,24
2025/5/7,結婚・離婚,日本語（フィリピン）,家庭裁判所での調停について,電話,Question05.csv,25
2025/5/13,結婚・離婚,タガログ語,結婚手続きの混乱,電話,Question05.csv,49
2025/5/19,結婚・離婚,ポルトガル語,弁護士相談について,電話,Question05.csv,68
2025/5/19,結婚・離婚,タガログ語,家庭裁判所での調停について,電話,Question05.csv,70
2025/5/19,結婚・離婚,英語,離婚について,電話,Question05.csv,71
2025/5/20,結婚・離婚,英語,家庭裁判所からの書類,E-Mail,Question05.csv,77
2025/5/21,結婚・離婚,英語,法律相談について,E-Mail,Question05.csv,79
2025/5/26,結婚・離婚,タガログ語,お知らせの確認,来所,Question05.csv,102
2025/5/28,結婚・離婚,タガログ語,家庭裁判所のお知らせ,来所,Question05.csv,117
2025/5/29,結婚・離婚,英語,離婚調停の通訳について,E-Mail,Question05.csv,126
2025/5/29,結婚・離婚,ポルトガル語,法テラスについて,来所,Question05.csv,130
2025/6/3,結婚・離婚,タガログ語,書類確認の依頼,電話,Question06.csv,8
2025/6/4,結婚・離婚,タガログ語,書類の確認,来所,Question06.csv,16
2025/6/18,結婚・離婚,タガログ語,書類の確認,来所,Question06.csv,83
2025/6/24,結婚・離婚,タガログ語,家庭裁判での調停について,来所,Question06.csv,100
2025/7/4,結婚・離婚,日本語（ベトナム）,ベトナム人との結婚,電話,Question07.csv,14
2025/7/4,結婚・離婚,タガログ語,慰謝料,電話,Question07.csv,18
2025/7/4,結婚・離婚,タガログ語,外国離婚の承認裁判について,電話,Question07.csv,19
2025/7/7,結婚・離婚,ベトナム語,日本とベトナムでの結婚の手続きについて,E-Mail,Question07.csv,34
2025/7/16,結婚・離婚,タガログ語,日本で結婚と外国での離婚の司法承認について,電話,Question07.csv,79
2025/7/30,結婚・離婚,ポルトガル語,夫婦の話し合いの問題について,電話,Question07.csv,129
2025/7/31,結婚・離婚,日本語（ミャンマー）,国際結婚について,電話,Question07.csv,135
2025/8/15,結婚・離婚,日本語（その他）,結婚手続き,電話,Question08.csv,36
2025/8/18,結婚・離婚,ポルトガル語,自分が何をしてしまうかわからないくらい腹が立つ,電話,Question08.csv,44
2025/8/22,結婚・離婚,タガログ語,家計簿について,来所,Question08.csv,65
2025/8/26,結婚・離婚,日本語（ブラジル）,外国人同士の結婚について,電話,Question08.csv,75
2025/9/12,結婚・離婚,タガログ語,離婚について,電話,Question09.csv,75
2025/9/22,結婚・離婚,タガログ語,外国離婚の承認裁判について,電話,Question09.csv,93
2025/10/3,結婚・離婚,タガログ語,離婚について,電話,Question10.csv,20
2025/10/6,結婚・離婚,タガログ語,夫婦の問題,来所,Question10.csv,23
2025/10/7,結婚・離婚,スペイン語,夫に対する悩みについて,電話,Question10.csv,41
2025/10/8,結婚・離婚,英語,弁護士を探したい,E-Mail,Question10.csv,44
2025/10/9,結婚・離婚,タガログ語,離婚の申立書,電話,Question10.csv,56
2025/10/9,結婚・離婚,英語,弁護士との予約がしたい,E-Mail,Question10.csv,57
2025/10/10,結婚・離婚,英語,弁護士予約の手伝いをしてほしい,E-Mail,Question10.csv,68
2025/10/22,結婚・離婚,タガログ語,記入が必要な書類,電話,Question10.csv,101
2025/11/10,結婚・離婚,タガログ語,書類取り戻し,電話,Question11.csv,39
2025/11/26,結婚・離婚,日本語（中国）,妻の金銭トラブルについて,来所,Question11.csv,118
2025/12/1,結婚・離婚,スペイン語,夫婦関係について,電話,Question12.csv,10
2025/12/3,結婚・離婚,ポルトガル語,妻と今後のことについて話したい,電話,Question12.csv,14
2025/12/3,結婚・離婚,タガログ語,法テラスの規定書について,来所,Question12.csv,19
2025/12/8,結婚・離婚,スペイン語,夫婦関係について,電話,Question12.csv,36
2025/12/17,結婚・離婚,タガログ語,弁護士に繋いでほしい,電話,Question12.csv,73
2025/12/18,結婚・離婚,スペイン語,世帯分離について,電話,Question12.csv,81
2025/12/19,結婚・離婚,スペイン語,市役所で離婚手続きについて,電話,Question12.csv,87
2025/12/26,結婚・離婚,英語,婚姻の届け出に必要な書類,E-Mail,Question12.csv,121
