相談年月日,相談区分,対応言語名,相談概要,相談方法,元ファイル,元行番号
2025/4/16,交通・運転免許,ポルトガル語,自動車学校について,電話,Question04.csv,70
2025/4/28,交通・運転免許,スペイン語,自転車保険について,来所,Question04.csv,129
2025/4/28,交通・運転免許,ポルトガル語,自動車教習所について,電話,Question04.csv,132
2025/5/1,交通・運転免許,スペイン語,トラックの扉について,来所,Question05.csv,4
2025/5/27,交通・運転免許,ポルトガル語,運転免許証の持ち方変更について,電話,Question05.csv,114
2025/6/4,交通・運転免許,ベトナム語,引越し後の自動車関連の手続きについて,電話,Question06.csv,13
2025/6/11,交通・運転免許,日本語（ベトナム）,自賠責保険の受け取り,電話,Question06.csv,42
2025/6/11,交通・運転免許,ポルトガル語,自動車の免税措置について,電話,Question06.csv,44
2025/6/16,交通・運転免許,日本語（ベトナム）,ベトナムでの後見人制度,電話,Question06.csv,64
2025/6/16,交通・運転免許,ポルトガル語,交通事故を起こした後について,電話,Question06.csv,70
2025/6/19,交通・運転免許,日本語（ベトナム）,後見人の認定について,電話,Question06.csv,88
2025/8/20,交通・運転免許,ポルトガル語,交通違反で警察での取り調べについて,電話,Question08.csv,50
2025/9/11,交通・運転免許,日本語（ベトナム）,名義変更の手続きについてベトナム語通訳依頼,電話,Question09.csv,68
2025/9/18,交通・運転免許,ポルトガル語,免許の住所変更,電話,Question09.csv,82
2025/10/6,交通・運転免許,スペイン語,事故後について,電話,Question10.csv,34
2025/10/8,交通・運転免許,ポルトガル語,保険会社で手続きについて,電話,Question10.csv,46
2025/10/8,交通・運転免許,ポルトガル語,張り紙について,来所,Question10.csv,50
2025/10/10,交通・運転免許,ポルトガル語,事故の扱い変更,電話,Question10.csv,62
2025/10/15,交通・運転免許,ポルトガル語,通訳依頼,電話,Question10.csv,74
2025/10/15,交通・運転免許,日本語（ブラジル）,書類について,電話,Question10.csv,76
2025/10/21,交通・運転免許,日本語（その他）,従業員が交通事故を起こした,電話,Question10.csv,99
2025/10/22,交通・運転免許,スペイン語,弁護士からの手紙について,電話,Question10.csv,103
2025/10/24,交通・運転免許,ポルトガル語,慰謝料について,電話,Question10.csv,109
2025/10/24,交通・運転免許,スペイン語,弁護士からの手紙について,電話,Question10.csv,110
2025/10/27,交通・運転免許,ポルトガル語,自賠責保険について,電話,Question10.csv,114
2025/10/27,交通・運転免許,日本語（ブラジル）,相談者に連絡について,電話,Question10.csv,119
2025/11/5,交通・運転免許,ポルトガル語,運転免許証について,電話,Question11.csv,16
2025/11/6,交通・運転免許,ポルトガル語,運転免許証について,電話,Question11.csv,23
2025/11/7,交通・運転免許,ポルトガル語,海外運転免許証の翻訳,電話,Question11.csv,34
2025/11/11,交通・運転免許,ポルトガル語,住所変更について,電話,Question11.csv,44
2025/11/11,交通・運転免許,スペイン語,車の売買について,電話,Question11.csv,50
2025/11/17,交通・運転免許,ポルトガル語,免許の講習について,電話,Question11.csv,67
2025/11/18,交通・運転免許,日本語（ブラジル）,住所変更について,電話,Question11.csv,75
2025/11/18,交通・運転免許,ポルトガル語,転院先について,電話,Question11.csv,76
2025/11/18,交通・運転免許,ポルトガル語,uber eats　ドライバーについて,電話,Question11.csv,77
2025/11/20,交通・運転免許,ポルトガル語,転院について,電話,Question11.csv,88
2025/11/20,交通・運転免許,スペイン語,医師の診断書について,電話,Question11.csv,90
2025/11/20,交通・運転免許,ポルトガル語,Uber　eats　ドライバーについて,電話,Question11.csv,91
2025/11/21,交通・運転免許,ポルトガル語,転院先について,電話,Question11.csv,96
2025/11/21,交通・運転免許,ポルトガル語,受講日について,電話,Question11.csv,98
2025/11/26,交通・運転免許,ポルトガル語,外免切り替えについて,電話,Question11.csv,121
2025/11/28,交通・運転免許,ポルトガル語,損害賠償について,電話,Question11.csv,139
2025/12/3,交通・運転免許,日本語（その他）,外免の切り替えについて,電話,Question12.csv,15
2025/12/3,交通・運転免許,ポルトガル語,受診について,電話,Question12.csv,17
2025/12/15,交通・運転免許,スペイン語,諸制度について,電話,Question12.csv,66
2025/12/19,交通・運転免許,スペイン語,検察庁からの呼び出しについて,電話,Question12.csv,85
2025/12/24,交通・運転免許,日本語（ブラジル）,障がい者の駐車許可,電話,Question12.csv,104
