相談年月日,相談区分,対応言語名,相談概要,相談方法,回答,参照QA（カテゴリ名つき）リスト
2025/6/5,DV,ポルトガル語,妻と帰国の計画作成について,電話,ご質問の“妻と帰国の計画作成”について、滋賀県国際協会の情報の範囲内で事実ベースの要点を以下に示します。具体的な国籍・居住状況・法域により異なるため、事実として扱える範囲のみ記します。 - 離婚や婚姻の法的手続きは日本の法制度が適用されるケースがあり、協議離婚や婚姻・離婚に関する手続きは日本国内で進めることが可能です（ただし個別の法適用は状況次第）。 - 国際的な婚姻・離婚手続きについては、本国の在日公館（領事館・大使館）へ問い合わせることが推奨されます。 - 具体的な手続きとして、婚姻届は居住地の市町村役場へ提出、離婚は協議・調停・審判・裁判のいずれかの方法で進めることが可能です。 - 帰国計画に関しては、法的手続きと同時に居住地の行政手続き（死亡届等の一部要件を含む一般的行政手続き）と在留資格や戸籍・国籍に関する事柄を確認することが重要です。 - 詳細な手続き・必要書類・期限等は、日本国内の在日公館・滋賀県の窓口へご相談ください。,"[{""qa_id"": 310, ""カテゴリ名"": ""結婚・離婚"", ""質問"": ""離婚届"", ""回答"": ""- それぞれの夫婦が離婚する場合、どの国の法律が適用されるかという準拠法に深くかかわってきます。\n- 日本では、離婚の準拠法について、第一に夫婦の本国方が同一の時はその法律（共通本国法）により、第二にその共通本国法がない場合において夫婦の常居所地法が同一であるときはその法律によるが、第三にそのいずれの法律もない時は夫婦にもっとも密接な関係のある地の法律（密接関連法）による、とされていますが、これには例外があって、夫婦の一方が日本に常居所がある日本人であるときは、日本の法律によって決められます。\n- 日本の法律が適用される場合、協議離婚をすることができます。協議が成立しない場合は、家庭裁判所の調停や審判による離婚、地方裁判所の判決による離婚のいずれの方法もとることができます。\n- 各国の離婚に関する法律については、各在日公館にお問い合わせください。""}, {""qa_id"": 309, ""カテゴリ名"": ""結婚・離婚"", ""質問"": ""婚姻届"", ""回答"": ""- 外国人が日本国内で結婚する場合は両人の本国の法律と日本の法律にしたがって婚姻の手続きをしなければなりせん。\n- 本国の在日領事館または、大使館に婚姻の手続きについて問い合わせてください。\n- 婚姻に関しては、本国で定められている婚姻法に従って、必要書類をそろえ手続きをしてください。（書類の日本語訳文も必要です）\n- 婚姻届を届出人の所在地の市町村役場の戸籍係に提出してください。""}, {""qa_id"": 311, ""カテゴリ名"": ""結婚・離婚"", ""質問"": ""離婚についての話し合いがうまくいきません。"", ""回答"": ""家庭裁判所の調停で話し合うことができます。（日本語）\n- 大津家庭裁判所 　℡　077-503-8151\n- 大津家庭裁判所 彦根支部 　℡　0749-22-0167\n- 大津家庭裁判所 長浜支部 　℡　0749-62-0240\n- 京都外国人の夫婦と親子に関する紛争解決センター 　℡　075-692-3555""}, {""qa_id"": 188, ""カテゴリ名"": ""在留・住民手続"", ""質問"": ""死亡届"", ""回答"": ""- 死亡届は医師が発行する死亡診断書を添付の上、同居の親族、その他同居者等が死亡後7日以内に届出人の所在地の市町村役場に提出してください。\n- 在留カードを死亡14日以内に返してください。""}]"
2025/8/26,DV,ポルトガル語,夫婦の問題,電話,滋賀県国際協会の情報に基づくと、夫婦の問題に関しては日本国内での解決手段として家庭裁判所の調停・審判・判決を利用でき、離婚の準拠法は原則として夫婦の本国方・常居所地法・密接関連法の順で適用され、日本人夫妻の一方が日本に常居所がある場合は日本法が適用されます。協議離婚が成立しない場合は調停などを通じて離婚手続きが可能です。婚姻届・手続きについては外国人が日本国内で結婚する場合、両国の法律と日本の法律に従い、在日公館への問い合わせと本国婚姻法に従った書類準備が必要です。デートDVについては、暴力の一形態として身体的・精神的・性的・経済的暴力を含み、相談窓口やサポート情報が公的機関により紹介されています。,"[{""qa_id"": 310, ""カテゴリ名"": ""結婚・離婚"", ""質問"": ""離婚届"", ""回答"": ""- それぞれの夫婦が離婚する場合、どの国の法律が適用されるかという準拠法に深くかかわってきます。\n- 日本では、離婚の準拠法について、第一に夫婦の本国方が同一の時はその法律（共通本国法）により、第二にその共通本国法がない場合において夫婦の常居所地法が同一であるときはその法律によるが、第三にそのいずれの法律もない時は夫婦にもっとも密接な関係のある地の法律（密接関連法）による、とされていますが、これには例外があって、夫婦の一方が日本に常居所がある日本人であるときは、日本の法律によって決められます。\n- 日本の法律が適用される場合、協議離婚をすることができます。協議が成立しない場合は、家庭裁判所の調停や審判による離婚、地方裁判所の判決による離婚のいずれの方法もとることができます。\n- 各国の離婚に関する法律については、各在日公館にお問い合わせください。""}, {""qa_id"": 309, ""カテゴリ名"": ""結婚・離婚"", ""質問"": ""婚姻届"", ""回答"": ""- 外国人が日本国内で結婚する場合は両人の本国の法律と日本の法律にしたがって婚姻の手続きをしなければなりせん。\n- 本国の在日領事館または、大使館に婚姻の手続きについて問い合わせてください。\n- 婚姻に関しては、本国で定められている婚姻法に従って、必要書類をそろえ手続きをしてください。（書類の日本語訳文も必要です）\n- 婚姻届を届出人の所在地の市町村役場の戸籍係に提出してください。""}, {""qa_id"": 195, ""カテゴリ名"": ""生活"", ""質問"": ""「デートDV」のこと知っていますか？"", ""回答"": ""恋人同士の間に起こる暴力のことを「デートDV」と言います。暴力には身体的、精神的、性的や経済的暴力があります。相手を思いどおりにしたり、相手をバカにしたり無視をするといった行為もDVです。親しい間柄でも自分と相手の気持ちを大切にしましょう。\n- 内閣府　「人と人とのよりよい関係をつくるために」\n- 文部科学省　「生命の安全教育」\nパートナーとの悩みの相談\n- デートDV110番 https://ddv110.org/ (https://ddv110.org/)\n- にんしんSOS滋賀　（滋賀県子育て支援課）""}]"

2025/6/20,その他,ポルトガル語,クレジットカードについて,電話,クレジットカードに関する一般的な注意点は、公式な窓口や信頼できるサイト以外からのカード情報の提供を避けること、不審な請求には返信・連絡を控えること、正規の金融機関の連絡先を通じて確認することです。もし不正使用の疑いがある場合は、カード会社へ直ちに連絡して利用停止・調査を依頼してください。なお、滋賀県国際協会が提供する情報の範囲内では、クレジットカードに関する具体的な手続きや窓口情報は上記の一般的な防止策と同様です。）,"[{""qa_id"": 350, ""カテゴリ名"": ""事件・事故"", ""質問"": ""金融トラブルにご注意！！"", ""回答"": ""電子マネーのトラブル\nインターネット有料サイトの利用料金未納を騙った架空請求など、詐欺行為の支払手段として現金だけでなく、電子マネーを悪用した被害が急増しています。\n※预プリペイドカードなどの電子マネーは、相手にカードを渡さなくても、カードに記載された番号等を伝えるだけで電子マネーの価値を譲渡したことになります。\n詐欺です！: 「コンビニで電子マネーカードを買って、カード番号を教えて。\n」\n！身に覚えのない請求等に返信、連絡しないでください。\n！事業者、法務省や裁判所などが「未納料金などの支払い」の名目で、　　コンビニで電子マネーカードを購入させることは絶対にありません。\nマネー・ロンダリング（犯罪に関係するお金を持っている人をわからなくすること）は違法です！\n詐欺です！: 「このお金をあなたの口座から送金してほしいんです。一万円あげますから。」\n！口座を他人にあげるなどの行為は違法です。\n！違法な業者かどうか判断できない場合はその業者は使わないでください。\n　金融庁ウェブサイトの資金移動業者登録一覧に載っていない業者は違法です。\nここから確認できます→　https://www.fsa.go.jp/menkyo/menkyoj/shikin_idou.pdf\n。\nメール・SMS（ショートメッセージサービス）による被害防止対策として、あらかじめ受信拒否設定をしておくことが効果的です。\n！おかしいと思ったら、すぐに家族や友人、警察＃9110（警察相談専用電話）に相談！\n- 消費者ホットライン　　　　１８８　（日本語）\n- 訪日外国人観光客消費者ホットライン 03-5449-0906\n- 金融サービス利用者相談室0570-016811（从ＩＰ電話からは：03-5251-6811）\n- 英語ワンストップ窓口　　　email: equestion@fsa.go.jp""}]"
2025/7/9,その他,日本語（その他）,法律相談について,電話,滋賀県国際協会の情報を根拠に、法的相談の窓口としては法テラスが利用できます。日本語は0570-078374、英語ほか多言語は0570-078377、多言語ダイヤルは03-5366-6008です。滋賀での窓口としては法テラス滋賀（大津市浜大津1-2-22 大津商中日生ビル5F）0520-3383-5454が案内可能です。滋賀弁護士会も相談窓口を提供しています（大津市梅林1-3-3）。必要に応じて、地域の弁護士会や法テラスへご連絡ください。,"[{""qa_id"": 354, ""カテゴリ名"": ""事件・事故"", ""質問"": ""法律についての相談は"", ""回答"": ""法テラス\n℡　0570-078374（日本語）\n℡　0570-078377（英語、中国語、韓国語、スペイン語、ポルトガル語、ベトナム語、タガログ語)\n℡　03-5366-6008（多言語ダイヤル）\n法テラス滋賀\n大津市浜大津1-2-22　大津商中日生ビル５Ｆ\n℡　050-3383-5454\n滋賀弁護士会\n大津市梅林１-３-３""}]"
2025/9/29,その他,タガログ語,国勢調査について,電話,滋賀県における国勢調査についての事実ベースの情報は、提示されたS1〜S5のコンテキストには直接言及がありません。国勢調査は総務省統計局の実施であり、滋賀県の窓口としては滋賀県庁や市町の広報、統計課などが案内します。正確な情報を得るには、総務省統計局の国勢調査ページまたは滋賀県の公式広報をご確認ください。,"[{""qa_id"": 252, ""カテゴリ名"": ""年金・保険"", ""質問"": ""自分の年金情報をチェック！"", ""回答"": ""毎年1回、誕生月に国民年金および厚生年金保険の加入者（被保険者）には、年金加入記録の確認のため、「ねんきん定期便」が届きます。届出住所が現住所と異なっている場合、「ねんきん定期便」が届きませんので、住所が変った場合は住所変更を届け出ましょう。\n年金記録の確認は\nねんきんネット (https://www.nenkin.go.jp/n_net/index.html)\n年金定期便・年金専用ダイヤル　℡　0570-058-555\n★\t保険料納付期間が１０年に満たない方も年金事務所で確認しましょう！ 年金記録に漏れがないか。（基礎年金番号が他にないか。別の氏名で登録されたものがないか。 合算対象期間がないか。（特に永住者、日本国籍の方は海外の滞在期間が合算されます。）\n★\t資格期間を満たすために次のような方法があります。 ６０歳から６５歳まで国民年金に任意加入する。（1965年4月1日以前生まれの方は最長７０歳まで任意加入できます） 国民年金後納制度を使い未納期間を解消する。（2018年9月30日まで５年後納制度が適用されます）""}]"
2025/6/30,その他,ポルトガル語,食糧支援,電話,滋賀県に関する食糧支援の具体的な窓口情報は、提供された情報源には含まれていません。したがって、滋賀県内の食糧支援について確定的な事実を示すことはできません。必要であれば、滋賀県の公式窓口や市町相談窓口、NPO等の「食堂・配食」情報を参照して最新の案内をご案内します。,"[{""qa_id"": 286, ""カテゴリ名"": ""教育"", ""質問"": ""[小学校デビューQ＆A] 給食について教えてください。"", ""回答"": ""公立の学校では給食があります。食物アレルギーや宗教上などの配慮が必要なお子さんは必ず学校に知らせてください。保護者はお箸やコップなどの給食セットを準備しておきましょう。子どもは給食当番があります。当番で使った給食エプロンは、洗濯してアイロンをかけてまた翌週に持っていきます。""}, {""qa_id"": 339, ""カテゴリ名"": ""福祉"", ""質問"": ""子育て応援シリーズ②　ヤングケアラーって？　家族を丸ごと支援"", ""回答"": ""みなさん、こんにちは。滋賀県子ども青少年局です。本県では、「子ども・子ども・子ども」をキーワードに、「子どものために、子どもとともにつくる県政」を目指しています。 みなさんは、ヤングケアラーを知っていますか？ヤングケアラーとは、本来大人が担う家事や家族の世話を日常的に背負う子どもたちのことです。例えば、このようなケースがあります。\nケース１: 家事や幼いきょうだいの世話をしている\nケース２: 高齢の家族がいて、見守りや介護をしている\nケース３: 障害や病気のある家族がいて、介助や看病をしている\nケース４: 家計を支えるため、放課後は働いている\nケース５: 通訳等により、家族の意思疎通を支えている\n子どもにとって、「お手伝い」は成長につながる素晴らしい経験になります。しかし、その成長に見合わない重い責任や負担が続くことで、心や体の健康に影響が出てしまったり、子どもらしい時間を過ごすことができず、将来への夢や進路をあきらめてしまう子どもたちがいます。本人は「家族のサポートは当たり前」と考え、大好きな家族のため、苦しくても自身のSOSに気づかず相談できない、ということがあります。 本県では、このような子ども達と様々な問題を抱えるご家庭に「家族丸ごと支援」をキーワードに、ヤングケアラー支援を行っております。NPO法人を通して、相談窓口や似た境遇の仲間が集う場を提供している他、ヤングケアラー・コーディネーターを設置して支援にも取り組んでいます。\n外国籍の子どもたちの中には、言葉の壁のために本当の気持ちをいっぱい表現できず我慢したり、家族の通訳のために自分の時間が持てなかったりする子どもさんもいらっしゃいます。子どもらしく地域や家庭の中で「遊ぶ」「学ぶ」時間が保障される社会の実現のために、皆で支援していきましょう。子どもは社会の宝です。悩んでいるお子さん、ご家庭は、是非相談してください。　　　　（ヤングケアラー・コーディネーターより）\nこころんダイヤル\n子ども・青少年、保護者の悩みをお聞きします。\nTEL　077-524-2030\n午前9:00～午後9:00（12/29～1/3を除く）\n午後9:00以降は、24時間子どもSOSダイヤルにつながります。\n各市町相談窓口のご案内\n受けられる支援・サービスについてお問い合わせください。\nhttps://www.pref.shiga.lg.jp/file/attachment/5355506.pdf (https://www.pref.shiga.lg.jp/file/attachment/5355506.pdf)\n子どもたちがもっと笑顔に！　～いつもと違う場所で～\n滋賀県内には、子ども達を支えてくれる団体が沢山あります。\n「ヤングケアラー支援団体」（★）は、子どもたちが家庭などのことでしんどい時、ほっとしたい時、相談したい時に支えてくれる団体です。「子ども食堂」は、子どもたちが、無料、または低額で食事を楽しめる場です。（地域の大人も参加できる団体もあります。） 「居場所」は、子どもたちが好きに過ごせるスペースです。ちょっと遊びに行ってみよう！\nNPO法人 こどもソーシャルワークセンター\n- 内容: ★ヤングケアラー支援居場所・お弁当（配食）キャンプ\n- 開催場所: 大津市観音寺　9-8\n- 期間: 毎日\n- 問い合わせ先: 077-575-4378 https://liff.line.me/1645278921-kWRPP32q/?accountId=294hlbww (https://liff.line.me/1645278921-kWRPP32q/?accountId=294hlbww)\nNPO法人　芹川の河童\n- 内容: ★ヤングケアラー支援居場所・オンライン相談室\n- 開催場所: 彦根市河原2-3-4\n- 期間: 毎日\n- 問い合わせ先: 0749-20-9084 https://cswc2016.jp/ (https://cswc2016.jp/)\n多文化共生支援センター　SHIPS\n- 内容: 多文化子ども食堂\n- 開催場所: 草津市 草津1-13-12\n- 期間: 第４土曜\n- 問い合わせ先: 077-561-5110\nかんちゃんの小さな家\n- 内容: 多文化共生地域交流会・子ども食堂\n- 開催場所: 近江八幡市安土町浄楽寺956-2\n- 期間: 2か月に1回\n- 問い合わせ先: 090-3708-3315 https://kancyan-house.com/contact/ (https://kancyan-house.com/contact/)\nNPO法人　やんちゃ寺\n- 内容: 10代の居場所・子ども食堂\n- 開催場所: 草津市内\n- 期間: 第１、３、５土曜\n- 問い合わせ先: https://yanchadera.wixsite.com/yanchadera (https://yanchadera.wixsite.com/yanchadera)\nぱらでいろ\n- 内容: 居場所・子ども食堂\n- 開催場所: 愛荘町愛知川13-2\n- 期間: 第３金曜 夕食時\n- 問い合わせ先: 090-4030-1492 https://twitter.com/paradeiro12123 (https://twitter.com/paradeiro12123)\n大津　オルタナティブスクールトライアンフ\n- 内容: フリースクール・居場所 、水彩画教室\n- 開催場所: 大津市浜大津4-3-25\n- 期間: 火・水・金曜日\n- 問い合わせ先: 050-5374-0311 https://www.otsu-triumph.com/ (https://www.otsu-triumph.com/)\nちゃいるどビレッジ\n- 内容: こどもとおとなのサードプレイス（居場所）\n- 開催場所: 大津市比叡平2-39-4\n- 期間: 第４土曜 10～16時\n- 問い合わせ先: email：chimihirano@gmail.com\n・確認のため、連絡をしてからお出かけください。\n♪ もっといろんな子どもの居場所や食堂、遊び場があるよ ♪\n- 遊べる・学べる淡海子ども食堂（滋賀県内の子ども食堂）\n- 『しがこども体験学校』 「ふれあい」、「くらし・創作」、「自然」、「里山・田んぼ」、「文化芸術・歴史」の5つのテーマでさまざまな体験プログラムがあります。""}, {""qa_id"": 317, ""カテゴリ名"": ""出産・育児"", ""質問"": ""子育て応援シリーズ②　ヤングケアラーって？　家族を丸ごと支援"", ""回答"": ""みなさん、こんにちは。滋賀県子ども青少年局です。本県では、「子ども・子ども・子ども」をキーワードに、「子どものために、子どもとともにつくる県政」を目指しています。 みなさんは、ヤングケアラーを知っていますか？ヤングケアラーとは、本来大人が担う家事や家族の世話を日常的に背負う子どもたちのことです。例えば、このようなケースがあります。\nケース１: 家事や幼いきょうだいの世話をしている\nケース２: 高齢の家族がいて、見守りや介護をしている\nケース３: 障害や病気のある家族がいて、介助や看病をしている\nケース４: 家計を支えるため、放課後は働いている\nケース５: 通訳等により、家族の意思疎通を支えている\n子どもにとって、「お手伝い」は成長につながる素晴らしい経験になります。しかし、その成長に見合わない重い責任や負担が続くことで、心や体の健康に影響が出てしまったり、子どもらしい時間を過ごすことができず、将来への夢や進路をあきらめてしまう子どもたちがいます。本人は「家族のサポートは当たり前」と考え、大好きな家族のため、苦しくても自身のSOSに気づかず相談できない、ということがあります。 本県では、このような子ども達と様々な問題を抱えるご家庭に「家族丸ごと支援」をキーワードに、ヤングケアラー支援を行っております。NPO法人を通して、相談窓口や似た境遇の仲間が集う場を提供している他、ヤングケアラー・コーディネーターを設置して支援にも取り組んでいます。\n外国籍の子どもたちの中には、言葉の壁のために本当の気持ちをいっぱい表現できず我慢したり、家族の通訳のために自分の時間が持てなかったりする子どもさんもいらっしゃいます。子どもらしく地域や家庭の中で「遊ぶ」「学ぶ」時間が保障される社会の実現のために、皆で支援していきましょう。子どもは社会の宝です。悩んでいるお子さん、ご家庭は、是非相談してください。　　　　（ヤングケアラー・コーディネーターより）\nこころんダイヤル\n子ども・青少年、保護者の悩みをお聞きします。\nTEL　077-524-2030\n午前9:00～午後9:00（12/29～1/3を除く）\n午後9:00以降は、24時間子どもSOSダイヤルにつながります。\n各市町相談窓口のご案内\n受けられる支援・サービスについてお問い合わせください。\nhttps://www.pref.shiga.lg.jp/file/attachment/5355506.pdf (https://www.pref.shiga.lg.jp/file/attachment/5355506.pdf)\n子どもたちがもっと笑顔に！　～いつもと違う場所で～\n滋賀県内には、子ども達を支えてくれる団体が沢山あります。\n「ヤングケアラー支援団体」（★）は、子どもたちが家庭などのことでしんどい時、ほっとしたい時、相談したい時に支えてくれる団体です。「子ども食堂」は、子どもたちが、無料、または低額で食事を楽しめる場です。（地域の大人も参加できる団体もあります。） 「居場所」は、子どもたちが好きに過ごせるスペースです。ちょっと遊びに行ってみよう！\nNPO法人 こどもソーシャルワークセンター\n- 内容: ★ヤングケアラー支援居場所・お弁当（配食）キャンプ\n- 開催場所: 大津市観音寺　9-8\n- 期間: 毎日\n- 問い合わせ先: 077-575-4378 https://liff.line.me/1645278921-kWRPP32q/?accountId=294hlbww (https://liff.line.me/1645278921-kWRPP32q/?accountId=294hlbww)\nNPO法人　芹川の河童\n- 内容: ★ヤングケアラー支援居場所・オンライン相談室\n- 開催場所: 彦根市河原2-3-4\n- 期間: 毎日\n- 問い合わせ先: 0749-20-9084 https://cswc2016.jp/ (https://cswc2016.jp/)\n多文化共生支援センター　SHIPS\n- 内容: 多文化子ども食堂\n- 開催場所: 草津市 草津1-13-12\n- 期間: 土曜\n- 問い合わせ先: 077-561-5110\nかんちゃんの小さな家\n- 内容: 多文化共生地域交流会・子ども食堂\n- 開催場所: 近江八幡市安土町浄楽寺956-2\n- 期間: 年10回\n- 問い合わせ先: 090-3708-3315 https://kancyan-house.com/contact/ (https://kancyan-house.com/contact/)\nNPO法人　やんちゃ寺\n- 内容: 10代の居場所・子ども食堂\n- 開催場所: 草津市内\n- 期間: 第１、３、５土曜\n- 問い合わせ先: https://yanchadera.wixsite.com/yanchadera (https://yanchadera.wixsite.com/yanchadera)\nぱらでいろ\n- 内容: 居場所・子ども食堂\n- 開催場所: 愛荘町愛知川13-2\n- 期間: 第３金曜 夕食時\n- 問い合わせ先: 090-4030-1492 https://twitter.com/paradeiro12123 (https://twitter.com/paradeiro12123)\n大津　オルタナティブスクールトライアンフ\n- 内容: フリースクール・居場所 、水彩画教室\n- 開催場所: 大津市浜大津4-3-25\n- 期間: 火・水・金曜日\n- 問い合わせ先: 050-5374-0311 https://www.otsu-triumph.com/ (https://www.otsu-triumph.com/)\nちゃいるどビレッジ\n- 内容: こどもとおとなのサードプレイス（居場所）\n- 開催場所: 大津市比叡平2-39-4\n- 期間: 第４土曜 10～16時\n- 問い合わせ先: email：chimihirano@gmail.com\n・確認のため、連絡をしてからお出かけください。\n♪ もっといろんな子どもの居場所や食堂、遊び場があるよ ♪\n- 遊べる・学べる淡海子ども食堂（滋賀県内の子ども食堂）\n- 『しがこども体験学校』 「ふれあい」、「くらし・創作」、「自然」、「里山・田んぼ」、「文化芸術・歴史」の5つのテーマでさまざまな体験プログラムがあります。""}, {""qa_id"": 323, ""カテゴリ名"": ""出産・育児"", ""質問"": ""外国人住民のための子育て支援サイト"", ""回答"": ""（公財）かながわ国際交流財団が、子育て支援に関わる方々向けに、外国人住民へのご対応の際に役立つ情報を掲載しています。是非ご活用ください。\n支援者の方々へ (http://www.kifjp.org/child/supporters)""}, {""qa_id"": 215, ""カテゴリ名"": ""生活"", ""質問"": ""生活に困ったら"", ""回答"": ""市役所の福祉の窓口または、社会福祉協議会に相談しましょう。\n社会的包摂サポートセンター　よりそいホットライン\nTel: 0120-279-338""}]"
2025/12/17,その他,ポルトガル語,ガス給湯器について,来所,滋賀県国際協会の公開情報には、ガス給湯器の技術仕様や製品推奨、設置手順の詳細は含まれていません。そのため、ガス給湯器についての事実ベースの回答を提供することはできません。必要であれば、ガス給湯器の一般的な情報や設置時の留意点を他ソースと合わせて補足しますが、滋賀県国際協会の情報に限定した回答は現状難しいです。,[]

2025/10/22,交通・運転免許,スペイン語,弁護士からの手紙について,電話,弁護士からの手紙についての滋賀県国際協会の情報はS1に含まれていません。したがって、当協会の根拠情報としては提供できません。弁護士からの手紙に関する具体的な対応は、所在地の弁護士会または法テラス等の公式窓口にご相談ください。Ｓ1の「当番弁護士制度」および「法テラス」情報を参照してください。,"[{""qa_id"": 357, ""カテゴリ名"": ""事件・事故"", ""質問"": ""刑事事件を起こしてしまったら （事件・事故）"", ""回答"": ""被疑者の権利\n被疑者の権利として３つの権利が保障されています。\n1. 事実を知る権利\n2. 黙秘権\n3. 弁護人依頼権\n当番弁護士制度\n警察に逮捕、拘留された被疑者や家族の求めに応じて弁護士会が速やかに弁護士を被疑者のところに派遣する「当番弁護士」の制度があります。要請する場合ははっきりと申し出てください。\n滋賀弁護士会　当番弁護士専用電話　　TEL　077-522-2013\n民事法律扶助制度\n経済的に困っている人には、日本司法支援センター　(法テラス)　がありますので、当番弁護士が接見に来た際に相談してください 。\n法テラス [多言語ダイヤル]　TEL 0570-078-377\n法テラス [多言語] (http://www.houterasu.or.jp/multilingual/)\n国選弁護人\n起訴後、被告人は裁判のための弁護人を依頼することができます。経済的に無理な場合は、依頼すれば政府の国選弁護人をつけてくれます。""}]"
